Dipendenti di una societa di formazione
Nome, Cognome, Nickname, matricola, ruolo
Rossella, Francese, LadyF, 25, Docente
"Francesco, Giuliani, ""F'ra"", 20, Assistente"
Stefano, Linotti, Linux, 41, Segreteria
Mattia, Grandi, Gra88, 15, Docente
"Valeria, Pavoni, ""Pav's"", 14, Assistente"
Rebecca, Verdi, Reby, 8, Tirocinante
"Rosario, Rossi, ""Ross's"", 16, Amministratore delegato"
Laura, De Rossi, Ladero, 17, Docente
Sara, De Carli, , 36, Docente
"Assunta, Mari, ""Maria's"", 80, Assistente"
